,Unnamed: 0,summary,generated_sequence_greedy,generated_sequence_beam,generated_sequence_topk,generated_sequence_topp,rougel_greedy,rougel_beam,rougel_topk,rougel_topp,bert_score_f1_greedy,bert_score_f1_beam,bert_score_f1_topk,bert_score_f1_topp
10,10,Queen's University Belfast is cutting 236 jobs and 290 student places due to a funding reduction.,", and the University of Northern Ireland has announced a £8m cut in funding.",", but it's not the last thing we want to do. ""The loss of any place is damaging to our economy,"" Queen'","is making sense over the following three years, which is said to have increased student placements over Northern Ireland, but it could hit its reputation.",across the UK and: The government's public funding for the Higher Education Fund has cut the number of students and opportunities at the University,0.23809523809523808,0.18181818181818182,0.20408163265306126,0.21739130434782608,0.8986732959747314,0.8568625450134277,0.8677166700363159,0.8770384192466736
11,11,Hospital bosses in Sussex have apologised after about 850 patients were sent leaflets in error suggesting they might have cancer.,"was inserted with a 'two-week' information leaflet with an appointment letter. ""As soon as the error became","was inserted with an appointment letter. ""We apologise for any unnecessary anxiety this error may have caused,"" a","ing to that labelled the error was a ""business nightmare"" after a patient received initial consultation.",from a printer in November 2012 was turned on and went to hospital and gave the NHS an apology.,0.2105263157894737,0.15,0.1875,0.2857142857142857,0.8446696996688843,0.8457227349281311,0.859623908996582,0.8497961759567261
12,12,The shadow foreign secretary has suggested Labour will continue to support legislation paving the way for Brexit as it passes through Parliament.,Labour's Labour leader has said he will vote against the Brexit bill unless it is rejected.,"Labour's Jeremy Corbyn has said he will not ""frustrate"" Brexit even if it failed to amend the","it's already been signed in Parliament., Labour will try to take what the Labour Party has written to a minister to the House that would help by passing that bill.","'s ministers voted to back the Labour Bill, saying they will vote on the bill.",0.25641025641025644,0.25641025641025644,0.17391304347826086,0.2285714285714286,0.8965005874633789,0.8712926506996155,0.8688558340072632,0.8800228834152222
13,13,Torquay United boss Kevin Nicholson says none of the money from Eunan O'Kane's move to Leeds from Bournemouth will go to the playing squad.,"has been sold to the Cherries for £175,000 in 2012 and had a 15% sell-on clause included in the deal.","has been sold to the Cherries for £175,000 in 2012 and had a 15% sell-on clause included.",’s Will Nicholson is one of many players playing at the Championship as they seek to improve the club.,was handed over by the Welsh League after being re-entered by some local investors.,0.2857142857142857,0.2608695652173913,0.2222222222222222,0.13333333333333333,0.8615391850471497,0.8571651577949524,0.8707401156425476,0.8679982423782349
14,14,North Wales Police has been criticised at an inquest for sending an officer to speak to a hospital patient with paranoid schizophrenia.,"Lewis, 36, was found dead in the Menai Strait on 2 May.",Lewis' body was found in the Menai Strait on 2 May.,#NAME?,had contacted an officer after the killing of his mother in April 2016. The Inquest in Gwynedd has now concluded that the,0.21428571428571427,0.2222222222222222,0.0,0.21621621621621623,0.8695135712623596,0.8681430816650391,0.8334388732910156,0.8759390115737915
15,15,Leicester City striker Gary Taylor-Fletcher has joined Sheffield Wednesday on an initial month-long loan.,s Taylor-Fletcher has signed a new deal with the Foxes this summer.,Taylor-Fletcher has signed a new one-year deal with the Foxes.,(C) Lionel Taylor-Fletcher has scored seven goals in 23 games for his parent club Blackpool this season.,. Aaron Taylor-Fletcher has been linked with a new contract at Blackpool United.,0.3125,0.4516129032258065,0.17647058823529413,0.25,0.8554459810256958,0.8829243779182434,0.8659278154373169,0.903679370880127
16,16,"Limiting access to federal research would do an ""enormous disservice"" to the US and the world according to former Nasa chief scientist.",",,,,, and the Trump administration are a ""failure"" to the US climate change",. the Trump administration is trying to challenge the Trump administration's stance on climate change.....,has a profound role as his first scientist on climate reform. But they are doing little to get them done.,a few years ago. We should not try to sign up for a copy of data that was apparently turned off by the US government,0.25,0.2222222222222222,0.16666666666666663,0.23255813953488372,0.8615230321884155,0.8690251111984253,0.8622666001319885,0.8590283393859863
17,17,"John ""Brad"" Bradbury, drummer with The Specials, has died at the age of 62.",",,, that we have to say goodbye to our dear friend, the world's greatest drummer, our beloved Bradbury","that Bradbury has passed away. ""It is with deepest regret that we say goodbye to our great friend, the world's","’s beloved Bob Bradbury has fallen from its memory to his father. ""It is with deepest regret that we’ve decided to drop him from The Specials."" The band's drummer, who was a member of",have apologised to John Bradbury who died on Monday after suffering a serious heart attack.,0.19999999999999998,0.20833333333333334,0.24,0.20689655172413796,0.8578733801841736,0.8413644433021545,0.8644328713417053,0.8731271028518677
18,18,"Tiger Woods missed the cut at the Farmers Insurance Open, as England's Justin Rose maintained a one-shot lead.",",,, and,,, and Ireland's Shane Lowry is on level par..","at Torrey Pines in San Diego. ""I hit a lot of beautiful putts that didn't go in,","from his first Open, his first full PGA Tour major, was the cut for David Woods.",the winning one-under 76 to put him on seven under after missing the cut by four shots.,0.14814814814814817,0.1951219512195122,0.125,0.17647058823529413,0.8568956851959229,0.8443135023117065,0.8614368438720703,0.8548393845558167
19,19,"Former England striker Andy Cole says he faces a ""long road ahead"" as he recovers from his recent kidney transplant.",", but he has not been able to fly to Barcelona for a game against Barcelona.","is not supported on this device. ""If I push it, I could go backwards or end up back on medication,"" he","that means United have no doubt their next United game. ""I will have to use this headset to see if you're going to find the right match in 2018?"" Sir Alexander Cole said.","City legend Stephen Cole says: ""It is a tough road. It is not like getting a football injury,"" Cole says.",0.27027027027027023,0.125,0.15999999999999998,0.20000000000000004,0.8634048700332642,0.833407461643219,0.8426556587219238,0.8926079869270325
20,20,"Pakistan has unblocked the video sharing site, YouTube, more than three years after it was banned for posting a video deemed insulting to Islam.",has imposed a ban on YouTube on YouTube.,has imposed a ban on YouTube on Pakistan's YouTube.,in Pakistan has declared it will continue to appeal The Pakistan Telecommunication Company Ltd.,"has urged the Government to allow videos to be blocked by Google, a Pakistani-based telecoms official said.",0.1739130434782609,0.2,0.2777777777777778,0.2222222222222222,0.870993971824646,0.874359667301178,0.8472192883491516,0.8614490032196045
21,21,"Leicester Tigers winger Miles Benjamin is likely to be out for the rest of the season because of a knee injury, reports BBC Radio Leicester.","'s has signed a new contract, but the length of the contract has not been revealed.","man Benjamin Benjamin has signed a new contract, but the length of the contract has not been revealed.",'s Jeremy Benjamin is at a full recovery on his return to Plymouth this week despite his injuries.,"'s Nathan Benjamin, 26, has signed a new contract to help young Leicester international Roy Benjamin.",0.34285714285714286,0.3243243243243243,0.17777777777777776,0.22857142857142856,0.8697397708892822,0.8681421279907227,0.8648936152458191,0.877213716506958
22,22,Owain Doull has won Wales' first gold of the 2016 Olympics as  he helped the Great Britain men's team pursuit defend their cycling title in Rio.,has won a medal in the World Championships in London.,and Wales have won three Olympic gold medals in a row at the Rio Olympics.,"has a wonderful experience in cycling. ""They'll be on a big track, to learn from the great British women and to go on another Olympic race"" Mark Doull takes his medal - and has a record of",was rewarded for this triumph.-s at GB. has been feeling the thrill of a stunning record time,0.24,0.28571428571428575,0.18867924528301885,0.22857142857142856,0.8666031360626221,0.8838070034980774,0.8469074964523315,0.8407275676727295
23,23,"Floods in the western Indian state of Gujarat have killed 218 people, government officials have confirmed.",has been hit by flooding across at least 20 states in India.,Assam has seen dozens of people killed and hundreds of thousands displaced.,of Assam are expected to have a devastating flooding in Assam.,"is a tropical storm in India. of Assam have been in India since last week, is estimated to have killed",0.22222222222222224,0.1818181818181818,0.23076923076923075,0.22222222222222224,0.9001635909080505,0.8834720849990845,0.8645926713943481,0.8599376678466797
24,24,All images copyrighted.,"and, and and Bridget Reid, from Moy, Scotland, got married on Friday. and, and","and Bridget Reid, from Moy, Scotland, got married at the top of Easy Gully on Friday.",and the pair from Scottish Highlands got married Thursday after they tried to get married on six holiday seasons.,#NAME?,0.1111111111111111,0.19999999999999998,0.17142857142857143,0.0,0.8588240742683411,0.8634806871414185,0.8656912446022034,0.8334388732910156
25,25,"Royal Bank of Scotland (RBS) has been fined HK$6m (£460,000) by Hong Kong regulators after it failed to detect a series of unauthorised transactions by one of its traders.",has been fined £320m (£320m) for fraud in the UK.,has received a fine of £320m (£320m) to the European Commission for its role in the attempted rigging of,"over, the Hong Kong institution's regulation has failed to perform a serious audit of a bank's securities trading program.",Bank is fined £300m (£36m) for fraud.,0.3125,0.2608695652173913,0.25641025641025644,0.16666666666666666,0.8775568604469299,0.8625144958496094,0.8635638952255249,0.8820056915283203
26,26,"The Bafta awards had laughter, passion and plenty of politics.",",,,,,,, a'so a whirlwind'","...com..com..com..com... ""I'm so",", this is her life,"" he said in an email after a show featuring Emma Stone and Donald Trump, as a woman with an in-depth look at his performance at the Boston Globes.",""" Mr. Ben Dev Patel, by Don Moraine. and ""That's good,"".",0.2105263157894737,0.0,0.1754385964912281,0.13333333333333333,0.8155038952827454,0.8002625703811646,0.8460593819618225,0.8295310139656067
27,27,"Of his last 30 matches in 2016, Andy Murray won 28 and lost just two.",", and Murray has lost his last three matches at Wimbledon.","at Wimbledon, and he has lost to a player outside the top 20 this season.","could not be beat at Wimbledon at a place in the next major, as Murray's a fifth-ever year as a champion at Wimbledon has risen.",the British Open and the US Open. Murray will be back in line to reach the final of the Wimbledon Wimbledon Open.,0.24,0.19354838709677422,0.2127659574468085,0.21276595744680854,0.8853214383125305,0.8664454221725464,0.8393141031265259,0.8576505780220032
28,28,South African police say four people have been arrested in connection with the murder of former actor on popular local TV series Generations.,Mandla Hlatshwayo and his friend were shot after confronting a group of men who had robbed,Mandla Hlatshwayo and his friend were shot after confronting a group of men who had robbed,who had been robbed by a group of men in a pub in Soweto had been robbed of women's mobile phones.,Mandla Hlatshwayo and his friend were shot after confronting a group of men who had robbed,0.15384615384615385,0.15384615384615385,0.27027027027027023,0.15384615384615385,0.8433914184570312,0.8433914184570312,0.8737073540687561,0.8433914184570312
29,29,"A shot was reportedly fired at a car outside a primary school in Liverpool as parents were taking their children inside, police have said.",Police have ordered pupils to stay indoors while police investigate.,a gun was fired at a school in Merseyside.,"""beggars belief"" the gun was being used at the hospital as part of an investigation, Police say.","A gun was fired at a car near Anfield Road Primary School,. Police have urged all pupils to stay indoors",0.15384615384615385,0.42424242424242425,0.2580645161290323,0.45454545454545453,0.8799468278884888,0.9161120653152466,0.8720643520355225,0.9098387956619263
30,30,Jessica Ennis-Hill has fallen from fourth to eighth place after six events at the Hypo-Meeting in Gotzis.,",,,,,,, Olympic champion Ennis-Hill, 29, is competing in the","Olympic champion Ennis-Hill, 29, was third overall at the end of a promising first day - traditionally her strongest ","had just five points off of qualifying, the most notably World Championships.","The Yorkshire Olympic champion, Ennis-Hill, has completed a 5-0 career victory over Argentina at the Rio Olympics in Jamaica",0.21428571428571427,0.24390243902439024,0.1818181818181818,0.3,0.8517302870750427,0.8715810775756836,0.8441529870033264,0.8605352640151978
31,31,The Manor team have collapsed after administrators failed to find a buyer for the stricken business.,has been re-opened after Manor Racing's FIA collapsed.,has been unable to find a buyer after Manor Racing's collapse.,", having left Manor Racing in charge since 2016. has decided to leave All Three Formula One Group following the manor's collapse in Abu Dhabi.","the insurance policy of the D-1000 Formula One Group. If you wish to leave The Iron Manor Foundation, please click here.",0.22222222222222224,0.28571428571428575,0.19512195121951217,0.1904761904761905,0.8790991306304932,0.9054073095321655,0.855635941028595,0.8506077527999878
32,32,A total of 228 candidates will contest the Northern Ireland Assembly election next month - 48 fewer than last time.,", with a total of 108 candidates in the race. The Labour Party is fielding the most candidates, with 108 women.",",,, West Tyrone, East Londonderry and East Antrim have the largest number of candidates in the race.","of candidates and only nine women will be allowed in Stormont; to be elected to Stormont County, the DUP has won the final election of this year's parliament.","from 2011 election results, and from 2016 voters the DUP is winning by a narrow margin.",0.25641025641025644,0.23529411764705882,0.20833333333333334,0.16666666666666663,0.8789872527122498,0.8528274893760681,0.8673207759857178,0.865841269493103
33,33,"With the value of the pound falling dramatically since Brexit, a ""flash crash"" last week when the currency lost 6% of its value against the dollar, and news on Tuesday that the pound had fallen again, when would be a good time to change those pounds to dollars?","the pound has fallen by 18% against the dollar. ""It's always worth shopping around when buying currency - avoid buying","the pound and the FTSE 100. ""I'm planning on going to New York in December, should I get my cash","was this not too easy. asked Drew: ""With my cash we need to go into New York. I will be doing something that you really want to have them buy, as it was. for a second time,",Our question: What's the actual dollar and why? The question is whether you're planning to spend a year on a,0.1951219512195122,0.18604651162790697,0.14285714285714288,0.20512820512820512,0.8691969513893127,0.8536995649337769,0.8364450931549072,0.8419932723045349
34,34,A philosophy student who wears vintage clothing has won a national contest for alternative models.,",, and, ands have been crowned Alternative Model of the Year. has been announced as the winner",has been declared the winner of Alternative Model of the Year.,"In a final, and a model, it seems, and from the National Association of Young Models (AL). will be competing in Alternative Model of the Year at Newcastle.",is a huge success. Models:. and. is who voted Alternative Model of the Year at Newcastle,0.2564102564102564,0.35714285714285715,0.19607843137254902,0.2,0.8695399165153503,0.88504558801651,0.8526601195335388,0.862968385219574
35,35,Plans to move a statue depicting a Royal Marine in the Falklands conflict away from Portsmouth seafront have been criticised.,",,, and, is a memorial to the Falklands War and the Marines' historical association with East",The Yomper statue is currently located in front of the Royal Marines Museum at Eastney.,"Its symbolic symbol was one of South Britain's earliest creations for wars. The Yomper statue stands on Eastney's Eastney coast and is a symbolic symbol, the Memorial of James Joyce.","of the War Memorial, The Yomper is an imposing sculpture that has been re-built by the Royal Marines Museum at",0.2285714285714286,0.2,0.17857142857142858,0.2162162162162162,0.8611825108528137,0.8733409643173218,0.8484140038490295,0.8584298491477966
36,36,A suspected terrorist has been charged with breaching conditions imposed as part of the government's new terror monitoring powers.,#NAME?,#NAME?,"on a TPim with no details relating to it. was in court charged with under the TPim, the High Court will hear.",", who had failed to contact a monitoring company and report to a police station in the UK, is accused of a breach of",0.0,0.0,0.1904761904761905,0.23255813953488372,0.8334388732910156,0.8334388732910156,0.8567224144935608,0.8712565302848816
37,37,Sussex have appointed former player James Anyon as head coach of their women's side.,",, will take over as Sussex's coach.'s coach, Seamer Anyon, will take over as Sussex'",will coach the women's under-21 and under-21 sides.,"-folk, Sussex cricket coach Brad Seamer Anyon, is to give the women's side over three years of their life.",has already taken over the role of coaching the Sussex women's under-17 side.,0.19354838709677422,0.23076923076923075,0.28571428571428575,0.26666666666666666,0.8612668514251709,0.8766286373138428,0.8809607028961182,0.8988810777664185
38,38,League One side Bury have signed former Barnsley defender Reece Brown on a six-month contract.,",,,, and Bury's League One season opener against Doncaster.'s Wes Brown,","'s Wes Brown, 23, has been on trial with the Shakers.",’s Wes Brown has been on trial with a former former Sunderland player since 2010 at Bradford.,", and other players. Manchester United coach Wes Brown is available for Bury's League One campaign opener against Doncaster.",0.21428571428571427,0.2857142857142857,0.19047619047619052,0.163265306122449,0.8589470982551575,0.8680159449577332,0.8744986653327942,0.8812385201454163
39,39,"In recent years, Hollywood remakes and re-imaginings of classic fairytales have come thick and fast - all darker, more adult versions of tales that originally appeared in cinemas.",", and it's a very good film. ""It's a very classic, but it's a very",". ""It's a really good film, but I think it's a really good film. It's ","and to celebrate Cinderella's life, James says. ""Hell,"" said author Elizabeth Branagh. I agree.",", the main characters for the film include Mary Frozen and the kids who are now embracing their children.",0.1818181818181818,0.1818181818181818,0.17142857142857143,0.17647058823529413,0.8396719098091125,0.8503066301345825,0.848868727684021,0.8532403707504272
40,40,"Performers from 42 countries strode down a long red carpet near Ukraine's parliament this week, as a curtain-raiser to this year's Eurovision Song Contest.",",,,,,,,,,, Russia, and Ukraine have been banned from participating","is a ""stupid reaction"" to a Russian song contest. ""I think it's a stupid reaction""",": Russia had a national political contest in Ukraine that would have been barred - ""of course. Now our people"" will be tempted to participate, according to the British Premier.",and Russia's ability to win an Eurovision song contest has been far out of the way for the past year.,0.19354838709677416,0.24242424242424243,0.22727272727272727,0.2631578947368421,0.841905415058136,0.8660861253738403,0.8626080751419067,0.8682626485824585
41,41,It was 50 years ago today that The Beatles played their first gig at the Cavern Club in Liverpool - the venue where the band built their reputation and where Beatlemania was born.,"The Beatles were a bit more adventurous than the Beatles. ""They were a bit more adventurous and a bit more exciting. ""","The Beatles. ""They were the epitome of rebellion in Liverpool. ""They were a little bit of a voice for us","After an impressive show in Liverpool, John Bowie in the City of Liverpool, played in a similar world. ""It has always been very special with your musical performances. ""The Beatles were like the Beatles and the Beatles' ""","the band has grown, but that's how they reacted to their singing. ""I had a hard time hearing the Beatles",0.20833333333333334,0.21818181818181817,0.2,0.2162162162162162,0.8593626022338867,0.859817624092102,0.8537745475769043,0.8482565879821777
42,42,"South Africa's government has proposed a national minimum wage of 3,500 rand ($242; Â£199) a month.",",,,,,,, South Africa's government has proposed a minimum wage of at least","in South Africa, the government has proposed a minimum wage of at least 4,500 rand. South Africa faces a possible downgrade",is trying to put more people unable to afford a wage that would contribute more than one billion.,", but still had to make changes to a minimum wage. has said the government is stepping up negotiations on a proposed minimum",0.6666666666666667,0.6,0.22857142857142856,0.20408163265306123,0.8795196413993835,0.908480703830719,0.8493697643280029,0.8548887372016907
43,43,The death of Ethiopian Prime Minister Meles Zenawi has thrown the populous Horn of Africa giant into a period of deep uncertainty and created a serious leadership vacuum in the region with profound geopolitical implications.,",,,,,,,,,,,, has a s",",,,,,,,,,,,,, and a",", a great fadalism in the Middle East, to create a country that has become a political hot topic in a country that may remain a secret state of unity.,,,",is one of the main concern that Ethiopia is overtaking. and the world's most powerful political leader has known. is,0.2222222222222222,0.21052631578947367,0.28,0.26666666666666666,0.832028329372406,0.8160858750343323,0.8344999551773071,0.8395016193389893
44,44,Azhar Ali's unbeaten 66 helped Pakistan to reach 142-4 against Australia on a rain-affected first day of the Boxing Day Test in Melbourne.,and a solitary wicket from Azam and Azam. Australia have beaten Pakistan by 39 runs in the Test series at the,in the first half of the Test series at the Gabba. Australia have beaten Pakistan by 39 runs in the first half of the,of the Test in Victoria and Thesmalaysia Misbah-ul-Haq took a crucial 13 wicket. gave England a 2-0 lead at an interval in Melbourne. was a second,with Adam Misbah-ul-Haq out the front with a two-wicket-run as he beat Pakistan,0.2222222222222222,0.3404255319148936,0.19230769230769232,0.17142857142857143,0.8538991212844849,0.8677399158477783,0.8369560241699219,0.8415648937225342
45,45,Two new councillors have been elected in a by-election in the City of Edinburgh.,in the Scottish Parliament. in the Scottish Parliament. in the Scottish Parliament..... in the,in the Midlothian West with a swing in first-preference votes of 7.6% from Labour.,"on a single transferable vote (STV) system. The SNP topped the vote in the Leith Walk poll with 2,290 votes, followed by Scottish Labour's Marion Donaldson in May.","s, the Scottish Greens, in the Midlothian Electoral Election. in the vote,. The Scottish Green",0.27027027027027023,0.2580645161290323,0.1702127659574468,0.26666666666666666,0.8620592355728149,0.8581864833831787,0.8461543917655945,0.8603022694587708
46,46,"Russia has said it will carry on bombing rebel-held eastern Aleppo in Syria, defying US demands to stop.",",,,,, Syria, has been a ""merciless abyss of humanitarian catastrophe"" since","is a ""merciless abyss"" of humanitarian crisis in Syria.","is still in negotiations with the United States over Syria, an event that involves a ""very serious situation"". The pact to strike on Syria shows ""little effort"" to restore stability and stability despite the US's support of","to keep up with recent talks on Syria. 'We're more than ready' and it will be ""more than just trying to",0.24,0.23076923076923078,0.18461538461538463,0.17391304347826086,0.8437656760215759,0.8723013401031494,0.8668501973152161,0.8559237122535706
47,47,Wales Under-20 Grand Slam winners Shaun Evans and Dafydd Hughes have signed their first professional contracts with Scarlets.,have been included in Wales' squad for the Junior World Championships.,have been included in Wales' squad for the Junior World Championships.,will compete against New Zealand in the 2019 Rugby World Championships in Manchester with a 2-0 victory over Wales.,", a teenager who has played for Manchester City in the first round of the National Rugby Championship.",0.30769230769230765,0.30769230769230765,0.25,0.25641025641025644,0.8678296804428101,0.8678296804428101,0.8619391322135925,0.86998051404953
48,48,"The expulsion of 35 Russian diplomats from the US over the email hacking scandal has drawn a barrage of abuse from Moscow, which seems poised to respond in kind.",",,,,,,, Russia, and Russia, has a blot.,",", the Russians are trying to destabilize democracy in the world. ""We need to find out exactly what was done and what the",". ""The Russians,"" a Wall Street Journal spokesperson, have told the Russians, ""At present time and an hour and a half,"" a Russian news site says.","the US, but by Russia, hasn't seen the Clinton administration ""doing"" the Ukraine's ""toilet",0.19047619047619044,0.21739130434782608,0.1923076923076923,0.2162162162162162,0.8389627933502197,0.8517969250679016,0.8491670489311218,0.8471792340278625
49,49,Scrapping tuition fees in England is the biggest and most expensive proposal in Labour's £25bn worth of pledges for education.,",,, and the rise in fees is a sign of a strong political shift.,,, and",#NAME?,"fees, more than the US’s first-largest public universities - the UK's second biggest flier on student support. That's the latest in the two-year elections.","and is a trending indicator of a lack of funding for a country's major university, a government of Wales and",0.23529411764705882,0.0,0.19999999999999998,0.25,0.8548945784568787,0.8334388732910156,0.8408976197242737,0.8502389192581177
50,50,Fire crews are expected to leave the site of the Shoreham Airshow disaster later after spending nearly three weeks at the scene of the crash.,and their families have expressed their gratitude and gratitude to the victims of the A27 crash.,and their families have expressed their condolences and condolences to the victims of the A27 crash.,": ""Our service continues to be on the road and to help people who died in a crash and for a tragic accident as he flew into the street."" West Sussex Police have confirmed they have finished their work at the scene","on the journey to the Shoreham Air Show in London, after an aircraft hit a community site, a woman who was killed in",0.24390243902439027,0.24390243902439027,0.1818181818181818,0.2127659574468085,0.8732468485832214,0.8632643222808838,0.860262930393219,0.8529034852981567
51,51,"The US director of national intelligence has said he ""never felt pressured"" to influence the inquiry into Russia's political meddling.",",,,,,,, has spooked the White House. has spoo",has been criticized for not being able to discuss his interactions with the president.,with President Donald Trump is a petty bad point.,""" Bush is ""not willing to come,"" the White House’s spokesman said.",0.19047619047619047,0.2777777777777778,0.15384615384615383,0.1935483870967742,0.8480725884437561,0.87327641248703,0.8532662987709045,0.8739485144615173
52,52,White House officials will not say whether pop star Prince performed at a weekend party at the executive residence despite guests posting about it on social media.,has confirmed that a private party was held on Saturday but said little else.,has confirmed a private party was held on Saturday but said little else.,posed by celebrities such as Prince and Steve Wonder.,Obama has announced that a private party was held on Saturday but not in the second place.,0.15789473684210525,0.16216216216216217,0.14285714285714285,0.19512195121951217,0.8784619569778442,0.880192220211029,0.8467590808868408,0.8798055648803711
53,53,These roads in Northern Ireland are closed due to poor weather conditions as of Friday 15 January.,", Then, the Road Causanagh, Loughgall Tannyoky Road, Poyntzpass Carrowre","Derrygonnelly Road, Causanagh Road, Loughgall Tannyoky Road, Poyntzpass Carrow","Road, Dierygonnelly Country, Dartwell Road, Hertfordshire Road and Coymenta Road, Densiao Way, Wendcliffe Road, Tobacco County, Kildren Road","Austrockner Road, The Snowberg-Richtung de Culsanagh, Itener Road, Liyed",0.10526315789473685,0.08,0.07142857142857142,0.10000000000000002,0.7985761761665344,0.7965617179870605,0.7970951795578003,0.8040129542350769
